epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1971.06,0.8598,0.82595,1.12259,0.73715,0.60109,0.67024,0.44555,1.17536,1.18001,1.31327,0.000194072,0.000194072,0.000194072
56,2004.95,0.85614,0.8212,1.12038,0.75952,0.59363,0.67881,0.45523,1.17994,1.17848,1.319,0.000189943,0.000189943,0.000189943
57,2039.44,0.84749,0.81303,1.12297,0.73948,0.60334,0.67159,0.45171,1.18248,1.20839,1.32436,0.000185815,0.000185815,0.000185815
58,2076.66,0.84527,0.81217,1.12241,0.73127,0.61223,0.67653,0.45072,1.18726,1.17887,1.3216,0.000181687,0.000181687,0.000181687
59,2112.58,0.84447,0.8117,1.1188,0.72088,0.61911,0.67711,0.45744,1.18501,1.16412,1.32626,0.000177559,0.000177559,0.000177559
60,2148.9,0.83817,0.79951,1.11065,0.73044,0.62391,0.68329,0.4608,1.1725,1.14347,1.31618,0.00017343,0.00017343,0.00017343
61,2184.11,0.83476,0.78404,1.11265,0.72986,0.61923,0.67559,0.45122,1.18108,1.17022,1.32,0.000169302,0.000169302,0.000169302
62,2218.1,0.83028,0.78668,1.11217,0.74368,0.6185,0.68263,0.45801,1.17586,1.16077,1.32542,0.000165174,0.000165174,0.000165174
63,2252.62,0.82634,0.77959,1.10816,0.73723,0.60273,0.66481,0.44356,1.1881,1.18503,1.32865,0.000161045,0.000161045,0.000161045
64,2289.24,0.82546,0.7713,1.10575,0.75326,0.60203,0.67547,0.45339,1.18536,1.19478,1.32532,0.000156917,0.000156917,0.000156917
65,2323.86,0.81251,0.77289,1.10116,0.71186,0.62233,0.67088,0.45219,1.1792,1.18576,1.33172,0.000152789,0.000152789,0.000152789
66,2358.75,0.80935,0.74855,1.09564,0.73396,0.62759,0.68233,0.45899,1.18546,1.14937,1.32534,0.00014866,0.00014866,0.00014866
67,2394.85,0.82927,0.75948,1.10131,0.72398,0.61952,0.67385,0.45329,1.18788,1.20549,1.3268,0.000144532,0.000144532,0.000144532
68,2430.34,0.81368,0.74914,1.09581,0.77201,0.58963,0.67763,0.45762,1.18209,1.17764,1.32455,0.000140404,0.000140404,0.000140404
69,2467.27,0.81063,0.74897,1.09556,0.7553,0.61195,0.68608,0.46406,1.17813,1.15611,1.32574,0.000136276,0.000136276,0.000136276
70,2501.42,0.79947,0.73529,1.09709,0.74479,0.61101,0.67605,0.45701,1.17384,1.17817,1.3264,0.000132147,0.000132147,0.000132147
71,2528.05,0.80601,0.74196,1.0941,0.7527,0.60611,0.68113,0.46001,1.18023,1.15103,1.31972,0.000128019,0.000128019,0.000128019
72,2553.37,0.80098,0.72844,1.09045,0.75405,0.61854,0.68545,0.46148,1.17171,1.13724,1.31833,0.000123891,0.000123891,0.000123891
73,2578.87,0.7986,0.72997,1.08903,0.74557,0.61928,0.68367,0.46221,1.17394,1.15359,1.31728,0.000119762,0.000119762,0.000119762
74,2604.63,0.79317,0.71599,1.08664,0.7695,0.59888,0.68123,0.4566,1.18421,1.1509,1.32924,0.000115634,0.000115634,0.000115634
75,2632.82,0.78818,0.71474,1.08317,0.7427,0.6132,0.68267,0.4611,1.16898,1.17262,1.31791,0.000111506,0.000111506,0.000111506
76,2658.43,0.78329,0.70772,1.07949,0.74751,0.61357,0.68521,0.46088,1.17868,1.14443,1.3316,0.000107378,0.000107378,0.000107378
77,2684.12,0.79544,0.7231,1.0845,0.72332,0.63552,0.68831,0.46358,1.17183,1.14413,1.32431,0.000103249,0.000103249,0.000103249
78,2709.55,0.78543,0.71428,1.09073,0.72208,0.63125,0.68402,0.4594,1.17466,1.15865,1.31751,9.91209e-05,9.91209e-05,9.91209e-05
79,2736.02,0.775,0.70521,1.08203,0.74277,0.62347,0.68634,0.46316,1.17724,1.15012,1.32705,9.49926e-05,9.49926e-05,9.49926e-05
80,2760.88,0.7686,0.70569,1.07717,0.75166,0.61162,0.68384,0.46411,1.1742,1.16877,1.32114,9.08643e-05,9.08643e-05,9.08643e-05
81,2787.9,0.77836,0.69408,1.08037,0.75287,0.62738,0.69133,0.46417,1.1822,1.13752,1.32911,8.6736e-05,8.6736e-05,8.6736e-05
82,2813.45,0.7778,0.69474,1.07527,0.79259,0.59251,0.68628,0.46216,1.1767,1.15592,1.32505,8.26077e-05,8.26077e-05,8.26077e-05
83,2838.65,0.76927,0.68874,1.07537,0.73449,0.63248,0.68516,0.46367,1.17153,1.14171,1.32114,7.84794e-05,7.84794e-05,7.84794e-05
